phrases,tagged_phrases,Tags,POS_TAGS_OF_PHRASE
set,set nn,NN,<NN>
sethascope to check,sethascope nn to to_pos check vb,NN TO VB,<NN><TO><VB>
setting,setting vbg,VBG,<VBG>
setting as oem,setting vbg as in_pos oem nn,VBG IN NN,<VBG><IN><NN>
settings are,settings nns are vbp,NNS VBP,<NNS><VBP>
settings were,settings nns were vbd,NNS VBD,<NNS><VBD>
several,several jj,JJ,<JJ>
shaft adjusted,shaft nn adjusted vbd,NN VBD,<NN><VBD>
shaft snapped,shaft nn snapped vbd,NN VBD,<NN><VBD>
shall be pleased,shall md be vb pleased jj,MD VB JJ,<MD><VB><JJ>
sharing,sharing vbg,VBG,<VBG>
sheared,sheared vbn,VBN,<VBN>
shifted,shifted vbn,VBN,<VBN>
shipping,shipping nn,NN,<NN>
shop,shop nn,NN,<NN>
shop in houston,shop nn in in_pos houston nn,NN IN NN,<NN><IN><NN>
short,short jj,JJ,<JJ>
shots gms,shots nns gms vbp,NNS VBP,<NNS><VBP>
shots nde,shots nns nde vbp,NNS VBP,<NNS><VBP>
should be included,should md be vb included vbn,MD VB VBN,<MD><VB><VBN>
should be installed,should md be vb installed vbn,MD VB VBN,<MD><VB><VBN>
should be paid,should md be vb paid vbn,MD VB VBN,<MD><VB><VBN>
should be programmed,should md be vb programmed vbn,MD VB VBN,<MD><VB><VBN>
should be shopped,should md be vb shopped vbn,MD VB VBN,<MD><VB><VBN>
showing,showing vbg,VBG,<VBG>
shown,shown vbn,VBN,<VBN>
shows normal,shows nns normal jj,NNS JJ,<NNS><JJ>
shroud,shroud nn,NN,<NN>
shroud found,shroud nn found vbd,NN VBD,<NN><VBD>
shroud was,shroud nn was vbd,NN VBD,<NN><VBD>
shut,shut nn,NN,<NN>
shutdown,shutdown nn,NN,<NN>
shuts down,shuts nns down rp,NNS RP,<NNS><RP>
shutting,shutting vbg,VBG,<VBG>
side,side nn,NN,<NN>
side nde,side nn nde nn,NN NN,<NN><NN>
side of floor,side nn of in_pos floor nn,NN IN NN,<NN><IN><NN>
side of motor,side nn of in_pos motor nn,NN IN NN,<NN><IN><NN>
side recorded,side nn recorded vbd,NN VBD,<NN><VBD>
side with halliburton,side nn with in_pos halliburton nn,NN IN NN,<NN><IN><NN>
signal,signal nn,NN,<NN>
significantly reduced,significantly rb reduced vbn,RB VBN,<RB><VBN>
silva,silva nn,NN,<NN>
since hrs,since in_pos hrs nn,IN NN,<IN><NN>
singapore for repair,singapore nn for in_pos repair nn,NN IN NN,<NN><IN><NN>
singh,singh nn,NN,<NN>
sitting,sitting vbg,VBG,<VBG>
sized,sized vbn,VBN,<VBN>
sketch of motor,sketch nn of in_pos motor nn,NN IN NN,<NN><IN><NN>
skid installed,skid nn installed vbd,NN VBD,<NN><VBD>
slackened,slackened vbn,VBN,<VBN>
slided,slided vbd,VBD,<VBD>
slightly different,slightly rb different jj,RB JJ,<RB><JJ>
slitter found,slitter nn found vbd,NN VBD,<NN><VBD>
small,small jj,JJ,<JJ>
smart,smart nn,NN,<NN>
snapping,snapping vbg,VBG,<VBG>
so close,so rb close rb,RB RB,<RB><RB>
so decided,so rb decided vbd,RB VBD,<RB><VBD>
so farthis,so rb farthis jj,RB JJ,<RB><JJ>
so greased,so rb greased jj,RB JJ,<RB><JJ>
so i,so rb i jj,RB JJ,<RB><JJ>
so new,so rb new jj,RB JJ,<RB><JJ>
so opened,so rb opened jj,RB JJ,<RB><JJ>
so replaced,so rb replaced jj,RB JJ,<RB><JJ>
so step,so rb step nn,RB NN,<RB><NN>
so switched,so rb switched jj,RB JJ,<RB><JJ>
so that belt,so rb that in_pos belt nn,RB IN NN,<RB><IN><NN>
socket for adjuster,socket nn for in_pos adjuster nn,NN IN NN,<NN><IN><NN>
soft,soft jj,JJ,<JJ>
software confirmed,software nn confirmed vbd,NN VBD,<NN><VBD>
software on toughbook,software nn on in_pos toughbook nn,NN IN NN,<NN><IN><NN>
solidly attached,solidly rb attached vbd,RB VBD,<RB><VBD>
some areas,some dt areas nns,DT NNS,<DT><NNS>
some bolts,some dt bolts nns,DT NNS,<DT><NNS>
some dirt,some dt dirt nn,DT NN,<DT><NN>
some fittingsthexact,some dt fittingsthexact nn,DT NN,<DT><NN>
some motor,some dt motor nn,DT NN,<DT><NN>
some places,some dt places nns,DT NNS,<DT><NNS>
some play,some dt play nn,DT NN,<DT><NN>
some reason,some dt reason nn,DT NN,<DT><NN>
some step,some dt step nn,DT NN,<DT><NN>
some support,some dt support nn,DT NN,<DT><NN>
some vibrating,some dt vibrating nn,DT NN,<DT><NN>
some vibration,some dt vibration nn,DT NN,<DT><NN>
somewhat overgreased,somewhat rb overgreased vbd,RB VBD,<RB><VBD>
soon as cemetn unit,soon rb as in_pos cemetn nn unit nn,RB IN NN NN,<RB><IN><NN><NN>
sound,sound nn,NN,<NN>
sound from motor,sound nn from in_pos motor nn,NN IN NN,<NN><IN><NN>
sound was,sound nn was vbd,NN VBD,<NN><VBD>
sound while blower,sound nn while in_pos blower nn,NN IN NN,<NN><IN><NN>
sounds are,sounds nns are vbp,NNS VBP,<NNS><VBP>
spare,spare nn,NN,<NN>
spots were,spots nns were vbd,NNS VBD,<NNS><VBD>
spudding,spudding vbg,VBG,<VBG>
spun,spun nn,NN,<NN>
ss fitted,ss nn fitted vbd,NN VBD,<NN><VBD>
ssirclip was,ssirclip nn was vbd,NN VBD,<NN><VBD>
stainless,stainless nn,NN,<NN>
stand pipe,stand nn pipe nn,NN NN,<NN><NN>
standpipe,standpipe nn,NN,<NN>
starboard hmi,starboard nn hmi nn,NN NN,<NN><NN>
start in pump,start nn in in_pos pump nn,NN IN NN,<NN><IN><NN>
start of test,start nn of in_pos test nn,NN IN NN,<NN><IN><NN>
start recorded,start nn recorded vbd,NN VBD,<NN><VBD>
started,started vbn,VBN,<VBN>
starter at mcc,starter nn at in_pos mcc nn,NN IN NN,<NN><IN><NN>
starter checked,starter nn checked vbd,NN VBD,<NN><VBD>
starting,starting vbg,VBG,<VBG>
stated,stated vbn,VBN,<VBN>
station for cleanliness,station nn for in_pos cleanliness nn,NN IN NN,<NN><IN><NN>
station opened,station nn opened vbd,NN VBD,<NN><VBD>
station was,station nn was vbd,NN VBD,<NN><VBD>
station with paint,station nn with in_pos paint nn,NN IN NN,<NN><IN><NN>
stations appeared,stations nns appeared vbd,NNS VBD,<NNS><VBD>
stations are,stations nns are vbp,NNS VBP,<NNS><VBP>
stattion made,stattion nn made vbd,NN VBD,<NN><VBD>
stbd,stbd nn,NN,<NN>
stbd were,stbd nns were vbd,NNS VBD,<NNS><VBD>
step cleaned,step nn cleaned vbd,NN VBD,<NN><VBD>
step completed,step nn completed vbd,NN VBD,<NN><VBD>
step confirmed,step nn confirmed vbd,NN VBD,<NN><VBD>
step done,step nn done vbn,NN VBN,<NN><VBN>
step isolated,step nn isolated vbd,NN VBD,<NN><VBD>
step lubricated,step nn lubricated vbd,NN VBD,<NN><VBD>
step performed,step nn performed vbd,NN VBD,<NN><VBD>
step reinstalled,step nn reinstalled vbd,NN VBD,<NN><VBD>
step removed,step nn removed vbd,NN VBD,<NN><VBD>
step tested,step nn tested vbd,NN VBD,<NN><VBD>
step to be,step nn to to_pos be vb,NN TO VB,<NN><TO><VB>
steps are,steps nns are vbp,NNS VBP,<NNS><VBP>
steps carried,steps nns carried vbd,NNS VBD,<NNS><VBD>
steps completed,steps nns completed vbd,NNS VBD,<NNS><VBD>
steps didnt,steps nns didnt nn,NNS NN,<NNS><NN>
steps had,steps nns had vbd,NNS VBD,<NNS><VBD>
steps have,steps nns have vbp,NNS VBP,<NNS><VBP>
steps thru,steps nns thru nn,NNS NN,<NNS><NN>
steps were,steps nns were vbd,NNS VBD,<NNS><VBD>
still abit,still rb abit vb,RB VB,<RB><VB>
still activated,still rb activated vbn,RB VBN,<RB><VBN>
still faulted,still rb faulted vbn,RB VBN,<RB><VBN>
still havent,still rb havent nn,RB NN,<RB><NN>
still in good condition,still rb in in_pos good jj condition nn,RB IN JJ NN,<RB><IN><JJ><NN>
still low,still rb low jj,RB JJ,<RB><JJ>
still ok,still rb ok jj,RB JJ,<RB><JJ>
still operational,still rb operational jj,RB JJ,<RB><JJ>
still secure,still rb secure vb,RB VB,<RB><VB>
still serviceable,still rb serviceable jj,RB JJ,<RB><JJ>
stop,stop nn,NN,<NN>
stop was,stop nn was vbd,NN VBD,<NN><VBD>
stoped,stoped vbd,VBD,<VBD>
stopped,stopped vbd,VBD,<VBD>
stopping,stopping vbg,VBG,<VBG>
stops are,stops nns are vbp,NNS VBP,<NNS><VBP>
stops tested,stops nns tested vbd,NNS VBD,<NNS><VBD>
stored,stored vbn,VBN,<VBN>
stretched,stretched vbn,VBN,<VBN>
strip was,strip nn was vbd,NN VBD,<NN><VBD>
stripped,stripped vbd,VBD,<VBD>
stripping,stripping vbg,VBG,<VBG>
stroke confirmed,stroke nn confirmed vbd,NN VBD,<NN><VBD>
strong,strong jj,JJ,<JJ>
stuffing,stuffing vbg,VBG,<VBG>
submitted,submitted vbn,VBN,<VBN>
subsided,subsided vbd,VBD,<VBD>
successfully completed,successfully rb completed vbn,RB VBN,<RB><VBN>
suitable,suitable jj,JJ,<JJ>
suitable welded,suitable jj welded vbd,JJ VBD,<JJ><VBD>
sup to use,sup nn to to_pos use vb,NN TO VB,<NN><TO><VB>
supplied,supplied vbn,VBN,<VBN>
supplies ordered,supplies nns ordered vbd,NNS VBD,<NNS><VBD>
supply to pump,supply nn to to_pos pump vb,NN TO VB,<NN><TO><VB>
supplying,supplying vbg,VBG,<VBG>
supports cableing,supports nns cableing vbg,NNS VBG,<NNS><VBG>
supt to close,supt nn to to_pos close vb,NN TO VB,<NN><TO><VB>
sure,sure nn,NN,<NN>
surface measured,surface nn measured vbd,NN VBD,<NN><VBD>
surface meggered,surface nn meggered vbd,NN VBD,<NN><VBD>
surfaceremoved,surfaceremoved vbn,VBN,<VBN>
survey was,survey nn was vbd,NN VBD,<NN><VBD>
suspect coupling,suspect nn coupling vbg,NN VBG,<NN><VBG>
suspected,suspected vbn,VBN,<VBN>
swapped,swapped vbd,VBD,<VBD>
swbd to deisolate,swbd nn to to_pos deisolate vb,NN TO VB,<NN><TO><VB>
switch,switch nn,NN,<NN>
switch prevented,switch nn prevented vbd,NN VBD,<NN><VBD>
switch removed,switch nn removed vbd,NN VBD,<NN><VBD>
switch to become,switch nn to to_pos become vb,NN TO VB,<NN><TO><VB>
switch was,switch nn was vbd,NN VBD,<NN><VBD>
switches are,switches nns are vbp,NNS VBP,<NNS><VBP>
switches found,switches nns found vbd,NNS VBD,<NNS><VBD>
switches installed,switches nns installed vbd,NNS VBD,<NNS><VBD>
switches open,switches nns open vbp,NNS VBP,<NNS><VBP>
switchgear,switchgear nn,NN,<NN>
swivel,swivel nn,NN,<NN>
system blower,system nn blower nn,NN NN,<NN><NN>
system checked,system nn checked vbd,NN VBD,<NN><VBD>
system closed,system nn closed vbd,NN VBD,<NN><VBD>
system confirmed,system nn confirmed vbd,NN VBD,<NN><VBD>
system found,system nn found vbd,NN VBD,<NN><VBD>
system in janurary,system nn in in_pos janurary nn,NN IN NN,<NN><IN><NN>
system inspected,system nn inspected vbd,NN VBD,<NN><VBD>
system stroke,system nn stroke vbd,NN VBD,<NN><VBD>
system to supply,system nn to to_pos supply vb,NN TO VB,<NN><TO><VB>
system transfered,system nn transfered vbd,NN VBD,<NN><VBD>
system were,system nn were vbd,NN VBD,<NN><VBD>
systems blow,systems nns blow nn,NNS NN,<NNS><NN>
systems examine,systems nns examine vbp,NNS VBP,<NNS><VBP>
systems have,systems nns have vbp,NNS VBP,<NNS><VBP>
systems removed,systems nns removed vbd,NNS VBD,<NNS><VBD>
t loose,t nn loose nn,NN NN,<NN><NN>
tag for mud,tag nn for in_pos mud nn,NN IN NN,<NN><IN><NN>
tag was,tag nn was vbd,NN VBD,<NN><VBD>
tags are,tags nns are vbp,NNS VBP,<NNS><VBP>
tags in place,tags nns in in_pos place nn,NNS IN NN,<NNS><IN><NN>
tags present,tags nns present jj,NNS JJ,<NNS><JJ>
tags were,tags nns were vbd,NNS VBD,<NNS><VBD>
taken,taken vbn,VBN,<VBN>
taking,taking vbg,VBG,<VBG>
talking,talking vbg,VBG,<VBG>
tapped,tapped nns,NNS,<NNS>
task,task nn,NN,<NN>
task completed,task nn completed vbd,NN VBD,<NN><VBD>
task to see,task nn to to_pos see vb,NN TO VB,<NN><TO><VB>
task to task,task nn to to_pos task vb,NN TO VB,<NN><TO><VB>
task was,task nn was vbd,NN VBD,<NN><VBD>
tasks were,tasks nns were vbd,NNS VBD,<NNS><VBD>
team to conduct,team nn to to_pos conduct vb,NN TO VB,<NN><TO><VB>
tear,tear nn,NN,<NN>
tech came,tech nn came vbd,NN VBD,<NN><VBD>
technician,technician jj,JJ,<JJ>
technician to do,technician nn to to_pos do vb,NN TO VB,<NN><TO><VB>
technician to inspect,technician jj to to_pos inspect vb,JJ TO VB,<JJ><TO><VB>
temp,temp nn,NN,<NN>
temp alarm,temp nn alarm nn,NN NN,<NN><NN>
temp found,temp nn found vbd,NN VBD,<NN><VBD>
temp noted,temp nn noted vbd,NN VBD,<NN><VBD>
temp of c,temp nn of in_pos c nn,NN IN NN,<NN><IN><NN>
temperature,temperature nn,NN,<NN>
temperature checked,temperature nn checked vbd,NN VBD,<NN><VBD>
temperature detected,temperature nn detected vbd,NN VBD,<NN><VBD>
temperature found,temperature nn found vbd,NN VBD,<NN><VBD>
temperature measured,temperature nn measured vbd,NN VBD,<NN><VBD>
temperature monitored,temperature nn monitored vbd,NN VBD,<NN><VBD>
temperature noted,temperature nn noted vbd,NN VBD,<NN><VBD>
temperature of drive,temperature nn of in_pos drive nn,NN IN NN,<NN><IN><NN>
temperature perfomed,temperature nn perfomed vbd,NN VBD,<NN><VBD>
temperature was,temperature nn was vbd,NN VBD,<NN><VBD>
temperatures are,temperatures nns are vbp,NNS VBP,<NNS><VBP>
temperatures noted,temperatures nns noted vbd,NNS VBD,<NNS><VBD>
temperatures took,temperatures nns took vbd,NNS VBD,<NNS><VBD>
temperatures were,temperatures nns were vbd,NNS VBD,<NNS><VBD>
temps,temps nns,NNS,<NNS>
temps above normal range,temps nns above in_pos normal jj range nn,NNS IN JJ NN,<NNS><IN><JJ><NN>
temps are,temps nns are vbp,NNS VBP,<NNS><VBP>
temps detected,temps nns detected vbd,NNS VBD,<NNS><VBD>
temps do,temps nns do vbp,NNS VBP,<NNS><VBP>
temps nde,temps nns nde nns,NNS NNS,<NNS><NNS>
temps normal,temps nns normal jj,NNS JJ,<NNS><JJ>
temps noted,temps nns noted vbd,NNS VBD,<NNS><VBD>
temps re,temps nns re vbp,NNS VBP,<NNS><VBP>
temps were,temps nns were vbd,NNS VBD,<NNS><VBD>
terminal,terminal nn,NN,<NN>
terminal measured,terminal nn measured vbd,NN VBD,<NN><VBD>
terminals are,terminals nns are vbp,NNS VBP,<NNS><VBP>
terminals found,terminals nns found vbd,NNS VBD,<NNS><VBD>
terminals tightened,terminals nns tightened vbd,NNS VBD,<NNS><VBD>
terminals x,terminals nns x vbp,NNS VBP,<NNS><VBP>
termination in order,termination nn in in_pos order nn,NN IN NN,<NN><IN><NN>
test after rig,test nn after in_pos rig nn,NN IN NN,<NN><IN><NN>
test at kv,test nn at in_pos kv nn,NN IN NN,<NN><IN><NN>
test at v,test nn at in_pos v nn,NN IN NN,<NN><IN><NN>
test at vdc,test nn at in_pos vdc nn,NN IN NN,<NN><IN><NN>
test carried,test nn carried vbd,NN VBD,<NN><VBD>
test checked,test nn checked vbd,NN VBD,<NN><VBD>
test completed,test nn completed vbd,NN VBD,<NN><VBD>
test connected,test nn connected vbd,NN VBD,<NN><VBD>
test did,test nn did vbd,NN VBD,<NN><VBD>
test inspected,test nn inspected vbd,NN VBD,<NN><VBD>
test made,test nn made vbd,NN VBD,<NN><VBD>
test noted,test nn noted vbd,NN VBD,<NN><VBD>
test on ac,test nn on in_pos ac nn,NN IN NN,<NN><IN><NN>
test on drive,test nn on in_pos drive nn,NN IN NN,<NN><IN><NN>
test on mcc,test nn on in_pos mcc nn,NN IN NN,<NN><IN><NN>
test on motor,test nn on in_pos motor nn,NN IN NN,<NN><IN><NN>
test performed,test nn performed vbd,NN VBD,<NN><VBD>
test ran,test nn ran vbd,NN VBD,<NN><VBD>
test removed,test nn removed vbd,NN VBD,<NN><VBD>
test was,test nn was vbd,NN VBD,<NN><VBD>
test with driller,test nn with in_pos driller nn,NN IN NN,<NN><IN><NN>
tested,tested vbn,VBN,<VBN>
testing,testing vbg,VBG,<VBG>
tests aug,tests nns aug vbp,NNS VBP,<NNS><VBP>
tests feb,tests nns feb vbp,NNS VBP,<NNS><VBP>
tests ir,tests nns ir vbp,NNS VBP,<NNS><VBP>
tests noted,tests nns noted vbd,NNS VBD,<NNS><VBD>
tests visualized,tests nns visualized vbd,NNS VBD,<NNS><VBD>
tfs are,tfs nns are vbp,NNS VBP,<NNS><VBP>
tha,tha nn,NN,<NN>
than b,than in_pos b nn,IN NN,<IN><NN>
than g,than in_pos g nn,IN NN,<IN><NN>
than normal,than in_pos normal jj,IN JJ,<IN><JJ>
that ac,that dt ac nn,DT NN,<DT><NN>
that applied,that dt applied vbd,DT VBD,<DT><VBD>
that barite,that dt barite nn,DT NN,<DT><NN>
that blower,that dt blower nn,DT NN,<DT><NN>
that broken,that dt broken vbd,DT VBD,<DT><VBD>
that drive,that dt drive nn,DT NN,<DT><NN>
that fault,that dt fault nn,DT NN,<DT><NN>
that i,that in_pos i nn,IN NN,<IN><NN>
that intermittent,that dt intermittent nn,DT NN,<DT><NN>
that job,that dt job nn,DT NN,<DT><NN>
that jobwe,that dt jobwe nn,DT NN,<DT><NN>
that motor,that dt motor nn,DT NN,<DT><NN>
that mud,that dt mud nn,DT NN,<DT><NN>
that original,that dt original jj,DT JJ,<DT><JJ>
that pi,that dt pi nn,DT NN,<DT><NN>
that pump,that dt pump nn,DT NN,<DT><NN>
that time,that dt time nn,DT NN,<DT><NN>
that water,that dt water nn,DT NN,<DT><NN>
the abnormal,the dt abnormal nn,DT NN,<DT><NN>
the above,the dt above nn,DT NN,<DT><NN>
the ac,the dt ac nn,DT NN,<DT><NN>
the access,the dt access nn,DT NN,<DT><NN>
the actions,the dt actions nns,DT NNS,<DT><NNS>
the active,the dt active jj,DT JJ,<DT><JJ>
the acuracy,the dt acuracy nn,DT NN,<DT><NN>
the adjustment,the dt adjustment nn,DT NN,<DT><NN>
the admin,the dt admin nn,DT NN,<DT><NN>
the aft,the dt aft nn,DT NN,<DT><NN>
the air,the dt air nn,DT NN,<DT><NN>
the aircure,the dt aircure nn,DT NN,<DT><NN>
the airflow,the dt airflow nn,DT NN,<DT><NN>
the alarm,the dt alarm nn,DT NN,<DT><NN>
the aluminium,the dt aluminium nn,DT NN,<DT><NN>
the annual,the dt annual jj,DT JJ,<DT><JJ>
the applicable,the dt applicable jj,DT JJ,<DT><JJ>
the appropriate,the dt appropriate nn,DT NN,<DT><NN>
the area,the dt area nn,DT NN,<DT><NN>
the assembly,the dt assembly nn,DT NN,<DT><NN>
the assemilation,the dt assemilation nn,DT NN,<DT><NN>
the assistance,the dt assistance nn,DT NN,<DT><NN>
the attach,the dt attach nn,DT NN,<DT><NN>
the attached,the dt attached jj,DT JJ,<DT><JJ>
the aux,the dt aux nn,DT NN,<DT><NN>
the auxiliaries,the dt auxiliaries nns,DT NNS,<DT><NNS>
the availability,the dt availability nn,DT NN,<DT><NN>
the available,the dt available jj,DT JJ,<DT><JJ>
the awb,the dt awb nn,DT NN,<DT><NN>
the b,the dt b nn,DT NN,<DT><NN>
the back,the dt back nn,DT NN,<DT><NN>
the bad,the dt bad jj,DT JJ,<DT><JJ>
the ball,the dt ball nn,DT NN,<DT><NN>
the barrier,the dt barrier nn,DT NN,<DT><NN>
the base,the dt base nn,DT NN,<DT><NN>
the baylor,the dt baylor nn,DT NN,<DT><NN>
the bearing,the dt bearing nn,DT NN,<DT><NN>
the bearings,the dt bearings nns,DT NNS,<DT><NNS>
the below,the dt below nn,DT NN,<DT><NN>
the belt,the dt belt nn,DT NN,<DT><NN>
the belts,the dt belts nns,DT NNS,<DT><NNS>
the bender,the dt bender nn,DT NN,<DT><NN>
the bladder,the dt bladder nn,DT NN,<DT><NN>
the blades,the dt blades nns,DT NNS,<DT><NNS>
the block,the dt block nn,DT NN,<DT><NN>
the blower,the dt blower nn,DT NN,<DT><NN>
the blowers,the dt blowers nns,DT NNS,<DT><NNS>
the boat,the dt boat nn,DT NN,<DT><NN>
the bolt,the dt bolt nn,DT NN,<DT><NN>
the bolts,the dt bolts nns,DT NNS,<DT><NNS>
the bottom,the dt bottom nn,DT NN,<DT><NN>
the box,the dt box nn,DT NN,<DT><NN>
the breaker,the dt breaker nn,DT NN,<DT><NN>
the bucket,the dt bucket nn,DT NN,<DT><NN>
the bulk,the dt bulk nn,DT NN,<DT><NN>
the bulletin,the dt bulletin nn,DT NN,<DT><NN>
the bus,the dt bus nn,DT NN,<DT><NN>
the busbar,the dt busbar nn,DT NN,<DT><NN>
the cabinet,the dt cabinet nn,DT NN,<DT><NN>
the cable,the dt cable nn,DT NN,<DT><NN>
the cables,the dt cables nns,DT NNS,<DT><NNS>
the cabling,the dt cabling nn,DT NN,<DT><NN>
the cause,the dt cause nn,DT NN,<DT><NN>
the center,the dt center nn,DT NN,<DT><NN>
the checks,the dt checks nns,DT NNS,<DT><NNS>
the choke,the dt choke nn,DT NN,<DT><NN>
the circuit,the dt circuit nn,DT NN,<DT><NN>
the cleanes,the dt cleanes nns,DT NNS,<DT><NNS>
the closed,the dt closed jj,DT JJ,<DT><JJ>
the cm,the dt cm nn,DT NN,<DT><NN>
the coiled,the dt coiled jj,DT JJ,<DT><JJ>
the combination,the dt combination nn,DT NN,<DT><NN>
the company,the dt company nn,DT NN,<DT><NN>
the complete,the dt complete jj,DT JJ,<DT><JJ>
the components,the dt components nns,DT NNS,<DT><NNS>
the conditions,the dt conditions nns,DT NNS,<DT><NNS>
the configuration,the dt configuration nn,DT NN,<DT><NN>
the connection,the dt connection nn,DT NN,<DT><NN>
the connections,the dt connections nns,DT NNS,<DT><NNS>
the consistent,the dt consistent nn,DT NN,<DT><NN>
the contactors,the dt contactors nns,DT NNS,<DT><NNS>
the control,the dt control nn,DT NN,<DT><NN>
the cooling,the dt cooling nn,DT NN,<DT><NN>
the correct,the dt correct nn,DT NN,<DT><NN>
the corrective,the dt corrective nn,DT NN,<DT><NN>
the cover,the dt cover nn,DT NN,<DT><NN>
the covers,the dt covers nns,DT NNS,<DT><NNS>
the craft,the dt craft nn,DT NN,<DT><NN>
the crane,the dt crane nn,DT NN,<DT><NN>
the crimps,the dt crimps nns,DT NNS,<DT><NNS>
the cubicle,the dt cubicle nn,DT NN,<DT><NN>
the cyber,the dt cyber nn,DT NN,<DT><NN>
the damage,the dt damage nn,DT NN,<DT><NN>
the data,the dt data nn,DT NN,<DT><NN>
the day,the dt day nn,DT NN,<DT><NN>
the de,the dt de nn,DT NN,<DT><NN>
the deck,the dt deck nn,DT NN,<DT><NN>
the defective,the dt defective jj,DT JJ,<DT><JJ>
the degrading onesrecently,the dt degrading nn onesrecently rb,DT NN RB,<DT><NN><RB>
the demister,the dt demister nn,DT NN,<DT><NN>
the derrick,the dt derrick nn,DT NN,<DT><NN>
the details,the dt details nns,DT NNS,<DT><NNS>
the difference,the dt difference nn,DT NN,<DT><NN>
the direct,the dt direct jj,DT JJ,<DT><JJ>
the dirt,the dt dirt nn,DT NN,<DT><NN>
the documents,the dt documents nns,DT NNS,<DT><NNS>
the door,the dt door nn,DT NN,<DT><NN>
the draw,the dt draw nn,DT NN,<DT><NN>
the drawing,the dt drawing nn,DT NN,<DT><NN>
the drill,the dt drill nn,DT NN,<DT><NN>
the driller,the dt driller nn,DT NN,<DT><NN>
the drillfloor,the dt drillfloor nn,DT NN,<DT><NN>
the drilling,the dt drilling nn,DT NN,<DT><NN>
the drive,the dt drive nn,DT NN,<DT><NN>
the drives,the dt drives nns,DT NNS,<DT><NNS>
the dsgr,the dt dsgr nn,DT NN,<DT><NN>
the duct,the dt duct nn,DT NN,<DT><NN>
the ducting,the dt ducting nn,DT NN,<DT><NN>
the ducts,the dt ducts nns,DT NNS,<DT><NNS>
the eadge,the dt eadge nn,DT NN,<DT><NN>
the earth,the dt earth nn,DT NN,<DT><NN>
the electric,the dt electric jj,DT JJ,<DT><JJ>
the electrical,the dt electrical jj,DT JJ,<DT><JJ>
the elements,the dt elements nns,DT NNS,<DT><NNS>
the empellor,the dt empellor nn,DT NN,<DT><NN>
the encoder,the dt encoder nn,DT NN,<DT><NN>
the encoders,the dt encoders nns,DT NNS,<DT><NNS>
the engineering,the dt engineering nn,DT NN,<DT><NN>
the engineers,the dt engineers nns,DT NNS,<DT><NNS>
the environment,the dt environment nn,DT NN,<DT><NN>
the equipment,the dt equipment nn,DT NN,<DT><NN>
the estop,the dt estop nn,DT NN,<DT><NN>
the ets,the dt ets nns,DT NNS,<DT><NNS>
the exceptable,the dt exceptable jj,DT JJ,<DT><JJ>
the exception,the dt exception nn,DT NN,<DT><NN>
the exterior,the dt exterior nn,DT NN,<DT><NN>
the external,the dt external jj,DT JJ,<DT><JJ>
the eyebolt,the dt eyebolt nn,DT NN,<DT><NN>
the face,the dt face nn,DT NN,<DT><NN>
the fact,the dt fact nn,DT NN,<DT><NN>
the fan,the dt fan nn,DT NN,<DT><NN>
the fault,the dt fault nn,DT NN,<DT><NN>
the faulty,the dt faulty nn,DT NN,<DT><NN>
the field,the dt field nn,DT NN,<DT><NN>
the file,the dt file nn,DT NN,<DT><NN>
the filter,the dt filter nn,DT NN,<DT><NN>
the filters,the dt filters nns,DT NNS,<DT><NNS>
the final,the dt final jj,DT JJ,<DT><JJ>
the first,the dt first jj,DT JJ,<DT><JJ>
the fiscal,the dt fiscal jj,DT JJ,<DT><JJ>
the flages,the dt flages nns,DT NNS,<DT><NNS>
the floor,the dt floor nn,DT NN,<DT><NN>
the foam,the dt foam nn,DT NN,<DT><NN>
the following,the dt following nn,DT NN,<DT><NN>
the foundation,the dt foundation nn,DT NN,<DT><NN>
the fourth,the dt fourth jj,DT JJ,<DT><JJ>
the frame,the dt frame nn,DT NN,<DT><NN>
the front,the dt front nn,DT NN,<DT><NN>
the function,the dt function nn,DT NN,<DT><NN>
the fundation,the dt fundation nn,DT NN,<DT><NN>
the fuse,the dt fuse nn,DT NN,<DT><NN>
the future,the dt future nn,DT NN,<DT><NN>
the gaskets,the dt gaskets nns,DT NNS,<DT><NNS>
the gauges,the dt gauges nns,DT NNS,<DT><NNS>
the ge,the dt ge nn,DT NN,<DT><NN>
the gland,the dt gland nn,DT NN,<DT><NN>
the glands,the dt glands nns,DT NNS,<DT><NNS>
the global,the dt global jj,DT JJ,<DT><JJ>
the gom,the dt gom nn,DT NN,<DT><NN>
the good,the dt good jj,DT JJ,<DT><JJ>
the ground,the dt ground nn,DT NN,<DT><NN>
the guages,the dt guages nns,DT NNS,<DT><NNS>
the guys,the dt guys nns,DT NNS,<DT><NNS>
the handover,the dt handover nn,DT NN,<DT><NN>
the heat,the dt heat nn,DT NN,<DT><NN>
the heater,the dt heater nn,DT NN,<DT><NN>
the heaters,the dt heaters nns,DT NNS,<DT><NNS>
the high,the dt high jj,DT JJ,<DT><JJ>
the hmi,the dt hmi nn,DT NN,<DT><NN>
the holes,the dt holes nns,DT NNS,<DT><NNS>
the hose,the dt hose nn,DT NN,<DT><NN>
the hot,the dt hot jj,DT JJ,<DT><JJ>
the hour,the dt hour nn,DT NN,<DT><NN>
the hours,the dt hours nns,DT NNS,<DT><NNS>
the housing,the dt housing nn,DT NN,<DT><NN>
