phrases,tagged_phrases,phrases_for_model,phrases_for_model_index,predicted_class,predicted_class_probabilities,indicator_of_score
tested,tested vbn,"['tested', 'vbn']","[149, 4372]",0,"[0.5314467, 0.44333977, 0.02866882]",0
testing,testing vbg,"['testing', 'vbg']","[528, 4388]",2,"[0.00709334, 0.24568182, 0.7283643]",0
testrun,testrun nn,"['testrun', 'nn']","[3667, 4373]",2,"[0.03372684, 0.048109114, 0.9105284]",0
tests,tests nns,"['tests', 'nns']","[833, 4376]",2,"[0.042627305, 0.06191209, 0.7965615]",0
teturned,teturned vbn,"['teturned', 'vbn']","[2889, 4372]",2,"[0.37387505, 0.041311115, 0.48341268]",0
texas,texas nn,"['texas', 'nn']","[3418, 4373]",2,"[0.038281143, 0.041938424, 0.9018542]",0
tfs,tfs nn,"['tfs', 'nn']","[3944, 4373]",2,"[0.029721498, 0.051587313, 0.9184785]",0
th,th nn,"['th', 'nn']","[599, 4373]",2,"[0.009293973, 0.06327355, 0.9458555]",0
tha,tha nn,"['tha', 'nn']","[3349, 4373]",2,"[0.030252427, 0.051071912, 0.9175655]",0
thailand,thailand nn,"['thailand', 'nn']","[2176, 4373]",2,"[0.028186888, 0.053661823, 0.9214263]",0
than normal pressure,than in_pos normal jj pressure nn,"['than', 'in_pos', 'normal', 'jj', 'pressure', 'nn']","[447, 4374, 315, 4378, 21, 4373]",0,"[0.99734086, 0.0063543916, 0.00024551153]",1
than psi pump,than in_pos psi nns pump vbp,"['than', 'in_pos', 'psi', 'nns', 'pump', 'vbp']","[447, 4374, 15, 4376, 3, 4381]",0,"[0.9909682, 0.003301084, 0.002031982]",1
thank,thank nn,"['thank', 'nn']","[2162, 4373]",2,"[0.030363023, 0.051361978, 0.9170364]",0
thanks,thanks nns,"['thanks', 'nns']","[1392, 4376]",2,"[0.045042247, 0.036603183, 0.8377162]",0
that ai card,that dt ai vbz card nn,"['that', 'dt', 'ai', 'vbz', 'card', 'nn']","[52, 4375, 3302, 4379, 1296, 4373]",2,"[0.16090265, 0.058216393, 0.32015094]",0
that card,that dt card nn,"['that', 'dt', 'card', 'nn']","[52, 4375, 1296, 4373]",0,"[0.8595439, 0.018471211, 0.025198042]",0
that certan,that dt certan nn,"['that', 'dt', 'certan', 'nn']","[52, 4375, 3494, 4373]",0,"[0.989246, 0.0022187233, 0.000978589]",0
that craft,that dt craft nn,"['that', 'dt', 'craft', 'nn']","[52, 4375, 1360, 4373]",0,"[0.83941305, 0.02230668, 0.025782853]",0
that incorrect belt,that dt incorrect vbp belt nn,"['that', 'dt', 'incorrect', 'vbp', 'belt', 'nn']","[52, 4375, 914, 4381, 84, 4373]",0,"[0.5227679, 0.02368471, 0.3523018]",0
that job,that dt job nn,"['that', 'dt', 'job', 'nn']","[52, 4375, 31, 4373]",1,"[0.62606055, 0.6428499, 0.0003530681]",0
that of pump,that dt of in_pos pump nn,"['that', 'dt', 'of', 'in_pos', 'pump', 'nn']","[52, 4375, 8, 4374, 3, 4373]",1,"[0.21482, 0.29870272, 0.17348075]",0
that port side,that dt port jj side nn,"['that', 'dt', 'port', 'jj', 'side', 'nn']","[52, 4375, 181, 4378, 74, 4373]",0,"[0.98937285, 7.6572906e-05, 0.024675637]",0
that quote,that dt quote nn,"['that', 'dt', 'quote', 'nn']","[52, 4375, 767, 4373]",0,"[0.9069015, 0.012610495, 0.020959973]",0
that several bay,that dt several jj bay nn,"['that', 'dt', 'several', 'jj', 'bay', 'nn']","[52, 4375, 664, 4378, 268, 4373]",0,"[0.9902342, 0.0018931627, 0.004062474]",1
that terminal,that dt terminal nn,"['that', 'dt', 'terminal', 'nn']","[52, 4375, 1975, 4373]",0,"[0.94388837, 0.009443432, 0.006192386]",0
that time,that dt time nn,"['that', 'dt', 'time', 'nn']","[52, 4375, 30, 4373]",0,"[0.9643844, 0.065805286, 0.0002168715]",0
that titan valve,that dt titan vbz valve nn,"['that', 'dt', 'titan', 'vbz', 'valve', 'nn']","[52, 4375, 934, 4379, 47, 4373]",2,"[0.022515088, 0.018940866, 0.49147877]",0
thats,thats nns,"['thats', 'nns']","[2054, 4376]",2,"[0.044355124, 0.045681745, 0.8369212]",0
the above,the dt above nn,"['the', 'dt', 'above', 'nn']","[2, 4375, 876, 4373]",1,"[0.065880775, 0.67824906, 0.0900124]",0
the ac,the dt ac nn,"['the', 'dt', 'ac', 'nn']","[2, 4375, 1805, 4373]",1,"[0.16674769, 0.92307615, 0.0018384457]",0
the acceptable,the dt acceptable jj,"['the', 'dt', 'acceptable', 'jj']","[2, 4375, 224, 4378]",0,"[0.98092544, 0.02207321, 0.0015261769]",0
the accumulator,the dt accumulator nn,"['the', 'dt', 'accumulator', 'nn']","[2, 4375, 1404, 4373]",1,"[0.062531084, 0.92630553, 0.015069246]",0
the active,the dt active jj,"['the', 'dt', 'active', 'jj']","[2, 4375, 1200, 4378]",0,"[0.8630494, 0.26859868, 0.0018529594]",0
the actual,the dt actual jj,"['the', 'dt', 'actual', 'jj']","[2, 4375, 2384, 4378]",0,"[0.9219635, 0.27966362, 8.2239625e-05]",0
the acuracy,the dt acuracy nn,"['the', 'dt', 'acuracy', 'nn']","[2, 4375, 3198, 4373]",0,"[0.800944, 0.66488934, 9.2007485e-06]",0
the ad,the dt ad nn,"['the', 'dt', 'ad', 'nn']","[2, 4375, 1806, 4373]",1,"[0.12374455, 0.930678, 0.0033356845]",0
the add,the dt add nn,"['the', 'dt', 'add', 'nn']","[2, 4375, 485, 4373]",1,"[0.08419269, 0.6181255, 0.0889515]",0
the adjustment,the dt adjustment nn,"['the', 'dt', 'adjustment', 'nn']","[2, 4375, 730, 4373]",1,"[0.067064136, 0.6624149, 0.100492865]",0
the alarms,the dt alarms nns,"['the', 'dt', 'alarms', 'nns']","[2, 4375, 1077, 4376]",0,"[0.93581367, 0.046597183, 0.0015901625]",0
the alighnment,the dt alighnment nn,"['the', 'dt', 'alighnment', 'nn']","[2, 4375, 3796, 4373]",0,"[0.8044879, 0.66048, 8.782606e-06]",0
the alignment,the dt alignment nn,"['the', 'dt', 'alignment', 'nn']","[2, 4375, 893, 4373]",1,"[0.06585157, 0.7333777, 0.07846621]",0
the amount,the dt amount nn,"['the', 'dt', 'amount', 'nn']","[2, 4375, 1063, 4373]",1,"[0.060913026, 0.7574716, 0.07488757]",0
the amps,the dt amps nns,"['the', 'dt', 'amps', 'nns']","[2, 4375, 1070, 4376]",0,"[0.9315524, 0.05316019, 0.0014514923]",0
the annual,the dt annual jj,"['the', 'dt', 'annual', 'jj']","[2, 4375, 1317, 4378]",0,"[0.865777, 0.26251727, 0.0018928647]",0
the applicable,the dt applicable jj,"['the', 'dt', 'applicable', 'jj']","[2, 4375, 308, 4378]",0,"[0.96461904, 0.03042528, 0.0043703914]",0
the approved,the dt approved jj,"['the', 'dt', 'approved', 'jj']","[2, 4375, 2034, 4378]",0,"[0.9573647, 0.19061786, 2.2645898e-05]",0
the area,the dt area nn,"['the', 'dt', 'area', 'nn']","[2, 4375, 314, 4373]",1,"[0.078465134, 0.54750425, 0.10620776]",0
the areas,the dt areas nns,"['the', 'dt', 'areas', 'nns']","[2, 4375, 603, 4376]",0,"[0.95703375, 0.015369773, 0.0041517615]",0
the assemblies,the dt assemblies nns,"['the', 'dt', 'assemblies', 'nns']","[2, 4375, 823, 4376]",0,"[0.95340955, 0.025476635, 0.0025833845]",0
the assembly,the dt assembly nn,"['the', 'dt', 'assembly', 'nn']","[2, 4375, 334, 4373]",1,"[0.120755404, 0.68488383, 0.023542643]",0
the assistance,the dt assistance nn,"['the', 'dt', 'assistance', 'nn']","[2, 4375, 1283, 4373]",1,"[0.059559673, 0.9075475, 0.022569597]",0
the attached,the dt attached jj,"['the', 'dt', 'attached', 'jj']","[2, 4375, 121, 4378]",0,"[0.96893394, 0.031950146, 0.0033491254]",0
the aux,the dt aux nn,"['the', 'dt', 'aux', 'nn']","[2, 4375, 883, 4373]",1,"[0.058437765, 0.78705883, 0.06784427]",0
the auxiliaries,the dt auxiliaries nns,"['the', 'dt', 'auxiliaries', 'nns']","[2, 4375, 1319, 4376]",0,"[0.90470445, 0.09851161, 0.0009393394]",0
the availability,the dt availability nn,"['the', 'dt', 'availability', 'nn']","[2, 4375, 1117, 4373]",1,"[0.056665123, 0.8949667, 0.0282439]",0
the average,the dt average nn,"['the', 'dt', 'average', 'nn']","[2, 4375, 1478, 4373]",1,"[0.21481493, 0.9069765, 0.0012760758]",0
the axess,the dt axess nn,"['the', 'dt', 'axess', 'nn']","[2, 4375, 743, 4373]",1,"[0.064005405, 0.6978687, 0.092654854]",0
the back,the dt back nn,"['the', 'dt', 'back', 'nn']","[2, 4375, 76, 4373]",1,"[0.13060674, 0.80369854, 0.009576142]",0
the backlash,the dt backlash nn,"['the', 'dt', 'backlash', 'nn']","[2, 4375, 478, 4373]",1,"[0.07394257, 0.49399358, 0.13699573]",0
the base,the dt base nn,"['the', 'dt', 'base', 'nn']","[2, 4375, 982, 4373]",1,"[0.057754785, 0.8833451, 0.03187239]",0
the bay,the dt bay nn,"['the', 'dt', 'bay', 'nn']","[2, 4375, 268, 4373]",1,"[0.08180404, 0.6127996, 0.07520336]",0
the bays,the dt bays nns,"['the', 'dt', 'bays', 'nns']","[2, 4375, 632, 4376]",0,"[0.9566784, 0.017055213, 0.0038745701]",0
the bearing,the dt bearing nn,"['the', 'dt', 'bearing', 'nn']","[2, 4375, 48, 4373]",2,"[0.00041121244, 0.0066129863, 0.9831083]",0
the bearings,the dt bearings nns,"['the', 'dt', 'bearings', 'nns']","[2, 4375, 107, 4376]",0,"[0.7565813, 0.0048822463, 0.051250964]",0
the bed,the dt bed nn,"['the', 'dt', 'bed', 'nn']","[2, 4375, 2413, 4373]",1,"[0.7151169, 0.7372632, 2.110246e-05]",0
the below,the dt below nn,"['the', 'dt', 'below', 'nn']","[2, 4375, 118, 4373]",1,"[0.055029094, 0.4458591, 0.09673467]",0
the belt,the dt belt nn,"['the', 'dt', 'belt', 'nn']","[2, 4375, 84, 4373]",1,"[0.16165605, 0.3740825, 0.076001674]",0
the belts,the dt belts nns,"['the', 'dt', 'belts', 'nns']","[2, 4375, 137, 4376]",0,"[0.8457266, 0.00908643, 0.018597573]",0
the bench,the dt bench nn,"['the', 'dt', 'bench', 'nn']","[2, 4375, 1580, 4373]",1,"[0.0728274, 0.9284537, 0.011367708]",0
the bender,the dt bender nn,"['the', 'dt', 'bender', 'nn']","[2, 4375, 3560, 4373]",0,"[0.88200045, 0.5426147, 3.2049622e-06]",0
the big,the dt big jj,"['the', 'dt', 'big', 'jj']","[2, 4375, 1140, 4378]",0,"[0.8987584, 0.15399686, 0.0031474233]",0
the black,the dt black jj,"['the', 'dt', 'black', 'jj']","[2, 4375, 989, 4378]",0,"[0.90441066, 0.14155859, 0.003222227]",0
the blackjak,the dt blackjak nn,"['the', 'dt', 'blackjak', 'nn']","[2, 4375, 1651, 4373]",1,"[0.0660364, 0.93139994, 0.012184888]",0
the bladder,the dt bladder nn,"['the', 'dt', 'bladder', 'nn']","[2, 4375, 339, 4373]",1,"[0.08600536, 0.5940076, 0.08945915]",0
the blak,the dt blak nn,"['the', 'dt', 'blak', 'nn']","[2, 4375, 1072, 4373]",1,"[0.057548672, 0.90397286, 0.024608701]",0
the blakjak,the dt blakjak nn,"['the', 'dt', 'blakjak', 'nn']","[2, 4375, 617, 4373]",1,"[0.07237768, 0.63582045, 0.09626201]",0
the blower,the dt blower nn,"['the', 'dt', 'blower', 'nn']","[2, 4375, 412, 4373]",1,"[0.082534015, 0.5415004, 0.115404546]",0
the blowers,the dt blowers nns,"['the', 'dt', 'blowers', 'nns']","[2, 4375, 1659, 4376]",0,"[0.9096626, 0.09713465, 0.0009071529]",0
the blue,the dt blue nn,"['the', 'dt', 'blue', 'nn']","[2, 4375, 985, 4373]",1,"[0.060197502, 0.8859269, 0.025794268]",0
the body,the dt body nn,"['the', 'dt', 'body', 'nn']","[2, 4375, 1064, 4373]",1,"[0.06122753, 0.84500563, 0.042670876]",0
the bolt,the dt bolt nn,"['the', 'dt', 'bolt', 'nn']","[2, 4375, 544, 4373]",1,"[0.09974131, 0.70002925, 0.048549086]",0
the bolts,the dt bolts nns,"['the', 'dt', 'bolts', 'nns']","[2, 4375, 44, 4376]",2,"[0.029024988, 0.0053481758, 0.7140467]",0
the boost,the dt boost nn,"['the', 'dt', 'boost', 'nn']","[2, 4375, 482, 4373]",1,"[0.089856386, 0.6024233, 0.08647001]",0
the bottle,the dt bottle nn,"['the', 'dt', 'bottle', 'nn']","[2, 4375, 1473, 4373]",1,"[0.08248854, 0.9332591, 0.007737696]",0
the bottles,the dt bottles nns,"['the', 'dt', 'bottles', 'nns']","[2, 4375, 1706, 4376]",0,"[0.92482877, 0.13505706, 0.00028812885]",0
the bottom,the dt bottom nn,"['the', 'dt', 'bottom', 'nn']","[2, 4375, 689, 4373]",1,"[0.077060044, 0.631022, 0.09421137]",0
the box,the dt box nn,"['the', 'dt', 'box', 'nn']","[2, 4375, 607, 4373]",1,"[0.07060674, 0.64025867, 0.095712125]",0
the bracket,the dt bracket nn,"['the', 'dt', 'bracket', 'nn']","[2, 4375, 2091, 4373]",1,"[0.6862859, 0.7512755, 2.9888395e-05]",0
the break,the dt break nn,"['the', 'dt', 'break', 'nn']","[2, 4375, 1907, 4373]",1,"[0.2520408, 0.9082791, 0.0007736683]",0
the breakin,the dt breakin nn,"['the', 'dt', 'breakin', 'nn']","[2, 4375, 2438, 4373]",1,"[0.61109316, 0.7960859, 5.1622326e-05]",0
the breather,the dt breather nn,"['the', 'dt', 'breather', 'nn']","[2, 4375, 298, 4373]",1,"[0.11637202, 0.6562768, 0.025266796]",0
the breathers,the dt breathers nns,"['the', 'dt', 'breathers', 'nns']","[2, 4375, 737, 4376]",0,"[0.94471216, 0.042592466, 0.0016840398]",0
the breezeway,the dt breezeway nn,"['the', 'dt', 'breezeway', 'nn']","[2, 4375, 3194, 4373]",0,"[0.9076519, 0.49562162, 1.8830978e-06]",0
the bucket,the dt bucket nn,"['the', 'dt', 'bucket', 'nn']","[2, 4375, 2107, 4373]",1,"[0.57193494, 0.810835, 7.553544e-05]",0
the bull,the dt bull nn,"['the', 'dt', 'bull', 'nn']","[2, 4375, 450, 4373]",1,"[0.07529864, 0.5304743, 0.1221852]",0
the buyer,the dt buyer nn,"['the', 'dt', 'buyer', 'nn']","[2, 4375, 1548, 4373]",1,"[0.090152204, 0.92961204, 0.006911814]",0
the buyers,the dt buyers nns,"['the', 'dt', 'buyers', 'nns']","[2, 4375, 3446, 4376]",0,"[0.97764516, 0.10419741, 7.0181154e-06]",0
the bx,the dt bx nn,"['the', 'dt', 'bx', 'nn']","[2, 4375, 327, 4373]",1,"[0.08137259, 0.7131659, 0.018841714]",0
the cabinet,the dt cabinet nn,"['the', 'dt', 'cabinet', 'nn']","[2, 4375, 1004, 4373]",1,"[0.056511104, 0.81663334, 0.05713117]",0
the call,the dt call nn,"['the', 'dt', 'call', 'nn']","[2, 4375, 1413, 4373]",1,"[0.06100288, 0.9172412, 0.01920867]",0
the cam,the dt cam nn,"['the', 'dt', 'cam', 'nn']","[2, 4375, 360, 4373]",1,"[0.078217536, 0.558108, 0.10474461]",0
the cap,the dt cap nn,"['the', 'dt', 'cap', 'nn']","[2, 4375, 170, 4373]",1,"[0.074275166, 0.7371595, 0.034956694]",0
the card,the dt card nn,"['the', 'dt', 'card', 'nn']","[2, 4375, 1296, 4373]",1,"[0.061296552, 0.9086883, 0.021936953]",0
the care,the dt care nn,"['the', 'dt', 'care', 'nn']","[2, 4375, 1737, 4373]",1,"[0.24165604, 0.9073943, 0.0009108484]",0
the cartridge,the dt cartridge nn,"['the', 'dt', 'cartridge', 'nn']","[2, 4375, 2102, 4373]",1,"[0.57517046, 0.8008324, 8.543286e-05]",0
the case,the dt case nn,"['the', 'dt', 'case', 'nn']","[2, 4375, 169, 4373]",1,"[0.19126707, 0.41187793, 0.037685692]",0
the casing,the dt casing nn,"['the', 'dt', 'casing', 'nn']","[2, 4375, 1899, 4373]",1,"[0.14518577, 0.92358685, 0.0025893748]",0
the casting,the dt casting nn,"['the', 'dt', 'casting', 'nn']","[2, 4375, 3246, 4373]",0,"[0.7521814, 0.6934567, 1.8790068e-05]",0
the catridge,the dt catridge nn,"['the', 'dt', 'catridge', 'nn']","[2, 4375, 2101, 4373]",1,"[0.6485683, 0.76881707, 4.4235672e-05]",0
the center,the dt center nn,"['the', 'dt', 'center', 'nn']","[2, 4375, 303, 4373]",1,"[0.104233146, 0.35634708, 0.11476359]",0
the ceramic,the dt ceramic nn,"['the', 'dt', 'ceramic', 'nn']","[2, 4375, 678, 4373]",1,"[0.08627954, 0.7554613, 0.043695092]",0
the certification,the dt certification nn,"['the', 'dt', 'certification', 'nn']","[2, 4375, 1278, 4373]",1,"[0.05235952, 0.9126177, 0.024480581]",0
the certs,the dt certs nns,"['the', 'dt', 'certs', 'nns']","[2, 4375, 1176, 4376]",0,"[0.92317677, 0.06441045, 0.0013341904]",0
the chain,the dt chain nn,"['the', 'dt', 'chain', 'nn']","[2, 4375, 297, 4373]",1,"[0.08342722, 0.53205717, 0.103844315]",0
the chairs,the dt chairs nns,"['the', 'dt', 'chairs', 'nns']","[2, 4375, 3848, 4376]",0,"[0.9767388, 0.110949755, 7.1667323e-06]",0
the change,the dt change nn,"['the', 'dt', 'change', 'nn']","[2, 4375, 116, 4373]",1,"[0.12581259, 0.6924032, 0.019278258]",0
the changes,the dt changes nns,"['the', 'dt', 'changes', 'nns']","[2, 4375, 1611, 4376]",0,"[0.90274453, 0.17865726, 0.00029289722]",0
the charge,the dt charge nn,"['the', 'dt', 'charge', 'nn']","[2, 4375, 211, 4373]",1,"[0.11579335, 0.5930329, 0.047203213]",0
the checks,the dt checks nns,"['the', 'dt', 'checks', 'nns']","[2, 4375, 220, 4376]",0,"[0.9613161, 0.0073168874, 0.005783409]",0
the chief,the dt chief nn,"['the', 'dt', 'chief', 'nn']","[2, 4375, 1244, 4373]",1,"[0.082255036, 0.9325774, 0.007842928]",0
the china,the dt china nn,"['the', 'dt', 'china', 'nn']","[2, 4375, 2157, 4373]",1,"[0.67052764, 0.75913906, 3.5686404e-05]",0
the choke,the dt choke nn,"['the', 'dt', 'choke', 'nn']","[2, 4375, 1597, 4373]",1,"[0.1185711, 0.9273274, 0.003799796]",0
the cilinder,the dt cilinder nn,"['the', 'dt', 'cilinder', 'nn']","[2, 4375, 3380, 4373]",0,"[0.8059316, 0.6533983, 9.148164e-06]",0
the circuit,the dt circuit nn,"['the', 'dt', 'circuit', 'nn']","[2, 4375, 1665, 4373]",1,"[0.19132042, 0.909539, 0.0017052591]",0
the circulating,the dt circulating nn,"['the', 'dt', 'circulating', 'nn']","[2, 4375, 1607, 4373]",1,"[0.06384191, 0.9374115, 0.011523873]",0
the clamps,the dt clamps nns,"['the', 'dt', 'clamps', 'nns']","[2, 4375, 426, 4376]",0,"[0.93071663, 0.009413332, 0.010752857]",0
the clean,the dt clean nn,"['the', 'dt', 'clean', 'nn']","[2, 4375, 198, 4373]",1,"[0.098250926, 0.5786181, 0.0678685]",0
the cleans,the dt cleans nns,"['the', 'dt', 'cleans', 'nns']","[2, 4375, 2700, 4376]",0,"[0.9868331, 0.07573941, 2.1723615e-06]",0
the clearance,the dt clearance nn,"['the', 'dt', 'clearance', 'nn']","[2, 4375, 105, 4373]",2,"[0.07953066, 0.02966997, 0.5572238]",0
the client,the dt client nn,"['the', 'dt', 'client', 'nn']","[2, 4375, 874, 4373]",1,"[0.058149487, 0.8798453, 0.033109307]",0
the clipper,the dt clipper nn,"['the', 'dt', 'clipper', 'nn']","[2, 4375, 940, 4373]",1,"[0.068281144, 0.7723979, 0.063259006]",0
the cm,the dt cm nn,"['the', 'dt', 'cm', 'nn']","[2, 4375, 669, 4373]",1,"[0.07597935, 0.7569628, 0.055038244]",0
the coding,the dt coding nn,"['the', 'dt', 'coding', 'nn']","[2, 4375, 1284, 4373]",1,"[0.060963243, 0.9131611, 0.020074397]",0
the collector,the dt collector nn,"['the', 'dt', 'collector', 'nn']","[2, 4375, 3527, 4373]",0,"[0.8423039, 0.60716915, 5.9578733e-06]",0
the color,the dt color nn,"['the', 'dt', 'color', 'nn']","[2, 4375, 1165, 4373]",1,"[0.06326905, 0.9095285, 0.018914402]",0
the combination,the dt combination nn,"['the', 'dt', 'combination', 'nn']","[2, 4375, 3838, 4373]",0,"[0.90094566, 0.5128018, 2.0864657e-06]",0
the comments,the dt comments nns,"['the', 'dt', 'comments', 'nns']","[2, 4375, 2064, 4376]",0,"[0.9706894, 0.11192125, 1.8152916e-05]",0
the commitment,the dt commitment nn,"['the', 'dt', 'commitment', 'nn']","[2, 4375, 1712, 4373]",1,"[0.18334231, 0.91372716, 0.0017989278]",0
the company,the dt company nn,"['the', 'dt', 'company', 'nn']","[2, 4375, 1986, 4373]",1,"[0.5245548, 0.83321536, 0.000100206096]",0
the completion,the dt completion nn,"['the', 'dt', 'completion', 'nn']","[2, 4375, 647, 4373]",1,"[0.071432084, 0.62108487, 0.10304916]",0
the completions,the dt completions nns,"['the', 'dt', 'completions', 'nns']","[2, 4375, 1964, 4376]",0,"[0.96152145, 0.1346794, 3.191936e-05]",0
the components,the dt components nns,"['the', 'dt', 'components', 'nns']","[2, 4375, 302, 4376]",0,"[0.9406189, 0.009120762, 0.008453935]",0
the condition,the dt condition nn,"['the', 'dt', 'condition', 'nn']","[2, 4375, 63, 4373]",1,"[0.2533799, 0.44009903, 0.014096469]",0
the conditions,the dt conditions nns,"['the', 'dt', 'conditions', 'nns']","[2, 4375, 146, 4376]",0,"[0.6674478, 0.011274993, 0.036385685]",0
the connecting,the dt connecting nn,"['the', 'dt', 'connecting', 'nn']","[2, 4375, 438, 4373]",1,"[0.08501911, 0.44733304, 0.13150352]",0
the connections,the dt connections nns,"['the', 'dt', 'connections', 'nns']","[2, 4375, 881, 4376]",0,"[0.95201874, 0.028620362, 0.0022624433]",0
the constant,the dt constant nn,"['the', 'dt', 'constant', 'nn']","[2, 4375, 2470, 4373]",1,"[0.33690774, 0.8868481, 0.00042286515]",0
the containment,the dt containment nn,"['the', 'dt', 'containment', 'nn']","[2, 4375, 2248, 4373]",1,"[0.6257477, 0.7890708, 4.4612047e-05]",0
the control,the dt control nn,"['the', 'dt', 'control', 'nn']","[2, 4375, 700, 4373]",1,"[0.072364986, 0.64314353, 0.096357584]",0
the cooler,the dt cooler nn,"['the', 'dt', 'cooler', 'nn']","[2, 4375, 1575, 4373]",1,"[0.10510731, 0.93269455, 0.0045989156]",0
the cooling,the dt cooling nn,"['the', 'dt', 'cooling', 'nn']","[2, 4375, 209, 4373]",1,"[0.18174201, 0.45678037, 0.03464645]",0
the cork,the dt cork nn,"['the', 'dt', 'cork', 'nn']","[2, 4375, 3721, 4373]",1,"[0.69189966, 0.7593529, 2.2150627e-05]",0
the correct,the dt correct nn,"['the', 'dt', 'correct', 'nn']","[2, 4375, 132, 4373]",1,"[0.14852455, 0.5559025, 0.03746733]",0
the corrective,the dt corrective nn,"['the', 'dt', 'corrective', 'nn']","[2, 4375, 1362, 4373]",1,"[0.05418679, 0.92336, 0.019813478]",0
the corrosion,the dt corrosion nn,"['the', 'dt', 'corrosion', 'nn']","[2, 4375, 96, 4373]",2,"[0.01952523, 0.23470736, 0.3010245]",0
the cost,the dt cost nn,"['the', 'dt', 'cost', 'nn']","[2, 4375, 1503, 4373]",1,"[0.41979632, 0.86643946, 0.00023698807]",0
the counts,the dt counts nns,"['the', 'dt', 'counts', 'nns']","[2, 4375, 2529, 4376]",0,"[0.97113127, 0.11847675, 1.3650277e-05]",0
the coupler,the dt coupler nn,"['the', 'dt', 'coupler', 'nn']","[2, 4375, 778, 4373]",1,"[0.06254423, 0.68231356, 0.090925336]",0
the coupling,the dt coupling nn,"['the', 'dt', 'coupling', 'nn']","[2, 4375, 136, 4373]",1,"[0.13495949, 0.50785136, 0.037986457]",0
the couplings,the dt couplings nns,"['the', 'dt', 'couplings', 'nns']","[2, 4375, 367, 4376]",0,"[0.9521481, 0.0099852085, 0.0071004033]",0
the cover,the dt cover nn,"['the', 'dt', 'cover', 'nn']","[2, 4375, 88, 4373]",1,"[0.11067256, 0.64242315, 0.015502483]",0
the covers,the dt covers nns,"['the', 'dt', 'covers', 'nns']","[2, 4375, 86, 4376]",0,"[0.9077186, 0.008031815, 0.012398124]",0
the crack,the dt crack nn,"['the', 'dt', 'crack', 'nn']","[2, 4375, 1049, 4373]",1,"[0.063192815, 0.7994362, 0.05579886]",0
the cracnkshaft,the dt cracnkshaft nn,"['the', 'dt', 'cracnkshaft', 'nn']","[2, 4375, 2737, 4373]",0,"[0.8107911, 0.65919286, 7.5374355e-06]",0
the craft,the dt craft nn,"['the', 'dt', 'craft', 'nn']","[2, 4375, 1360, 4373]",1,"[0.07187033, 0.9322963, 0.010617495]",0
the cranchshaft,the dt cranchshaft nn,"['the', 'dt', 'cranchshaft', 'nn']","[2, 4375, 1668, 4373]",1,"[0.097522765, 0.9318494, 0.005272031]",0
the crank,the dt crank nn,"['the', 'dt', 'crank', 'nn']","[2, 4375, 221, 4373]",1,"[0.13870338, 0.4792926, 0.054588735]",0
the crankcase,the dt crankcase nn,"['the', 'dt', 'crankcase', 'nn']","[2, 4375, 214, 4373]",1,"[0.106532395, 0.60008913, 0.0524033]",0
the crankshaft,the dt crankshaft nn,"['the', 'dt', 'crankshaft', 'nn']","[2, 4375, 160, 4373]",1,"[0.10677835, 0.2970749, 0.1138494]",0
the critical,the dt critical jj,"['the', 'dt', 'critical', 'jj']","[2, 4375, 1081, 4378]",0,"[0.8953726, 0.15451822, 0.0033958554]",0
the crooshead,the dt crooshead nn,"['the', 'dt', 'crooshead', 'nn']","[2, 4375, 1989, 4373]",1,"[0.71674484, 0.7327899, 1.9967483e-05]",0
the cross,the dt cross nn,"['the', 'dt', 'cross', 'nn']","[2, 4375, 203, 4373]",1,"[0.15049589, 0.413467, 0.054210097]",0
the crosshead,the dt crosshead nn,"['the', 'dt', 'crosshead', 'nn']","[2, 4375, 68, 4373]",2,"[0.01882568, 0.045373052, 0.737929]",0
the crossheads,the dt crossheads nns,"['the', 'dt', 'crossheads', 'nns']","[2, 4375, 355, 4376]",0,"[0.937455, 0.009507358, 0.009440124]",0
the crossheas,the dt crossheas nns,"['the', 'dt', 'crossheas', 'nns']","[2, 4375, 3729, 4376]",0,"[0.9843319, 0.08482027, 3.078284e-06]",0
the current,the dt current jj,"['the', 'dt', 'current', 'jj']","[2, 4375, 631, 4378]",0,"[0.9429798, 0.056539387, 0.0058390796]",0
the cylinder,the dt cylinder nn,"['the', 'dt', 'cylinder', 'nn']","[2, 4375, 161, 4373]",1,"[0.077340364, 0.6050114, 0.050901115]",0
the cylinders,the dt cylinders nns,"['the', 'dt', 'cylinders', 'nns']","[2, 4375, 562, 4376]",0,"[0.9464565, 0.013876915, 0.0060763657]",0
the damage,the dt damage nn,"['the', 'dt', 'damage', 'nn']","[2, 4375, 54, 4373]",2,"[0.0026978552, 0.10744402, 0.6433861]",0
the dampener,the dt dampener nn,"['the', 'dt', 'dampener', 'nn']","[2, 4375, 129, 4373]",1,"[0.21106896, 0.6638098, 0.00876525]",0
the dampeners,the dt dampeners nns,"['the', 'dt', 'dampeners', 'nns']","[2, 4375, 601, 4376]",0,"[0.96255064, 0.016078621, 0.0033602417]",0
the dampening,the dt dampening nn,"['the', 'dt', 'dampening', 'nn']","[2, 4375, 2981, 4373]",0,"[0.79429924, 0.6738382, 9.023857e-06]",0
the dampner,the dt dampner nn,"['the', 'dt', 'dampner', 'nn']","[2, 4375, 353, 4373]",1,"[0.101477265, 0.5340098, 0.091013044]",0
