,extracted_date,JOBNUM,JOB_DEC_INST_TEXT_COMB_x,AVA_score_pred_khat,AVA_score_pred_khat_bayes,AVA_score_pred_pmi,AVA_class_pred_khat,AVA_class_pred_khat_bayes,AVA_class_pred_pmi,AVA_score_pred_khat_with_negation,AVA_score_pred_khat_bayes_with_negation,AVA_score_pred_pmi_with_negation,AVA_class_pred_khat_with_negation,AVA_class_pred_khat_bayes_with_negation,AVA_class_pred_pmi_with_negation,pred_khat_ava_array_with_neg,pred_khat_bayes_ava_array_with_neg,pred_pmi_ava_array_with_neg,pred_khat_ava_array,pred_khat_bayes_ava_array,pred_pmi_ava_array,JobType,NOV Random Rig Code,SYSTEM,COMPONENT,JOB_DEC_INST_TEXT_COMB_y,Negation_Scope_Processed,Need Repair 3,Repaired as good as new 1,Working fine 2,Combined Labels,JobSchedDate,JobStartDate,JobClosedDate,DatePurchased,DeactivationDate,date_diff_extract_minus_start,number_of_positive,number_of_negative,number_of_neutral,combined_neu_pos_neg,sentence_lenght,AVA_class_pred_pmi_with_negation_numeric,AVA_class_pred_khat_bayes_with_negation_numeric,AVA_class_pred_khat_with_negation_numeric,AVA_class_pred_pmi_numeric,AVA_class_pred_khat_bayes_numeric,AVA_class_pred_khat_numeric
20,2017-01-18 04:26:00,2220014158034, This unit is fitted with the WOM valve visually inpections carried out no issued reported. SPM-S_PRV-HPMS_NOV-TITAN-BX_7-MECHANICAL. NOTE: Perform this PM daily and record weekly in RMS. WARNING: ANY SIGNS OF LEAKAGE REQUIRES IMMEDIATE ACTION TO PREVENT VALVE DAMAGE AND/OR PERSONNEL INJURY. 1. Visually examine the exterior of valve for mud leakage as per RMS Procedure BPR-PRV-N005 (Titan BX Visual Inspection Illustration). NOTE: Refer to RMS Procedure BPR-PRV-N003 (NOV Titan BX PRV Disassembly And Assembly (Mud Pumps)) while performing below Task. 2. Replace piston seals ONLY if mud leakage is observed at the poi,"[1.4735, 1.4229, 1.6036]","[1.4701, 1.4389, 1.591]","[230.9603, -196.3682, -30.0922]",negative,negative,negative,"[1.467, 1.4534, 1.5796]","[1.4642, 1.4662, 1.5696]","[230.9603, -196.3682, -30.0922]",negative,positive,negative,"[0.019478771275145287, -0.04652805738518004, 0.1125865100250552]","[0.02504751359339044, -0.046528057385144976, 0.09264434224468923]","[-298.08624693818945, 160.83440561178972, 97.65007326611332]","[0.0054523675269024414, -0.047570704168264984, 0.15972282917048672]","[0.012203191658424263, -0.047570705002975375, 0.13448871120789693]","[-298.08624693818945, 160.83440561178972, 97.65007326611332]",Prevent Maint,8060,HPMS,PRV, This unit is fitted with the WOM valve visually inpections carried out no issued reported. SPM-S_PRV-HPMS_NOV-TITAN-BX_7-MECHANICAL. NOTE: Perform this PM daily and record weekly in RMS. WARNING: ANY SIGNS OF LEAKAGE REQUIRES IMMEDIATE ACTION TO PREVENT VALVE DAMAGE AND/OR PERSONNEL INJURY. 1. Visually examine the exterior of valve for mud leakage as per RMS Procedure BPR-PRV-N005 (Titan BX Visual Inspection Illustration). NOTE: Refer to RMS Procedure BPR-PRV-N003 (NOV Titan BX PRV Disassembly And Assembly (Mud Pumps)) while performing below Task. 2. Replace piston seals ONLY if mud leakage is observed at the poi,inpections carried out no issued reported. ,,,1.0,2,1/21/2017 0:00,1/18/2017 4:22,1/18/2017 4:26,3/25/2013 0:00,,0 days 00:04:25,2,8,2,"[2, 2, 8]",106,3,1,3,3,3,3
23,2017-01-26 11:43:00,2220014158548, Parts Requested from ICS:----------. Mud charge pump C on mud pump # 3 leaking fluid. Breakdown Job,"[1.5754, 0.9943, 1.9303]","[1.57, 1.0176, 1.9124]","[4.5194, -5.3438, 5.3243]",negative,negative,negative,"[1.555, 1.0498, 1.8953]","[1.5504, 1.0657, 1.8838]","[4.5194, -5.3438, 5.3243]",negative,negative,negative,"[-0.10994242033845777, 0.0, 0.7905196119578658]","[-0.10082428209449305, 0.0, 0.7676906767265951]","[-7.381938390537908, -1.3430596210772618, 6.305601814631473]","[-0.1508059168312899, 0.0, 0.8606384200928108]","[-0.13993810384991245, 0.0, 0.8248287908981146]","[-7.381938390537908, -1.3430596210772618, 6.305601814631473]",Corrective,8060,HPMS,MP, Parts Requested from ICS:----------. Mud charge pump C on mud pump # 3 leaking fluid. Breakdown Job,,1.0,,,3,1/26/2017 0:00,1/26/2017 0:00,1/28/2017 16:49,2/12/2009 0:00,,0 days 11:43:30,0,5,0,"[0, 0, 5]",15,3,3,3,3,3,3
25,2017-01-30 09:00:00,2220014158709, Ned to add Nitrogen to pulsation dampeners to 2000 PSI as the upcoming drilling operations require this. Mud pumps Add Nitrogen to pulsation dampeners to 2000 PSI. Mud pumps Add Nitrogen to pulsation dampeners to 2000 PSI,"[1.5273, 1.4078, 1.5648]","[1.5248, 1.4188, 1.5564]","[48.7726, -35.0147, -9.2578]",negative,negative,negative,"[1.5235, 1.3769, 1.5996]","[1.5213, 1.3844, 1.5942]","[48.7726, -35.0147, -9.2578]",negative,negative,negative,"[-0.04698468136521073, 0.0, 0.19917494976070024]","[-0.04269546368658558, 0.0, 0.1884361048930636]","[-78.95693716556568, 15.58822049627247, -5.927465059832186]","[-0.054694532472278526, 0.0, 0.12966738977216524]","[-0.04958225907605424, 0.0, 0.11282236169782082]","[-78.95693716556568, 15.58822049627247, -5.927465059832186]",Corrective,8060,HPMS,MP, Ned to add Nitrogen to pulsation dampeners to 2000 PSI as the upcoming drilling operations require this. Mud pumps Add Nitrogen to pulsation dampeners to 2000 PSI. Mud pumps Add Nitrogen to pulsation dampeners to 2000 PSI,,1.0,,,3,1/31/2017 0:00,1/30/2017 8:59,1/31/2017 9:22,2/12/2009 0:00,,0 days 00:01:08,0,7,0,"[0, 0, 7]",32,3,3,3,3,3,3
27,2017-02-01 14:26:00,2220014158798, Inspected the exterior of valve for mud leaks. None noted Verified the air pressure on the gauges. 110PSI Inspected the air connections for leaks. None noted. SPM-S_PRV-HPMS_NOV-TITAN-BX_7-MECHANICAL. NOTE: Perform this PM daily and record weekly in RMS. WARNING: ANY SIGNS OF LEAKAGE REQUIRES IMMEDIATE ACTION TO PREVENT VALVE DAMAGE AND/OR PERSONNEL INJURY. 1. Visually examine the exterior of valve for mud leakage as per RMS Procedure BPR-PRV-N005 (Titan BX Visual Inspection Illustration). NOTE: Refer to RMS Procedure BPR-PRV-N003 (NOV Titan BX PRV Disassembly And Assembly (Mud Pumps)) while performing below Task. 2. Replace piston seals ONLY if mud leakage is observed at the poi,"[1.5126, 1.4087, 1.5787]","[1.5067, 1.4268, 1.5664]","[261.5181, -199.268, -57.7501]",negative,negative,negative,"[1.5068, 1.4269, 1.5663]","[1.5024, 1.4404, 1.5572]","[261.5181, -199.268, -57.7501]",negative,negative,negative,"[-0.02469442811874637, -0.011109716472503651, 0.12154840604003096]","[-0.017270923590329085, -0.012425183472498333, 0.10197070047663297]","[-319.817595718595, 200.21851602818188, 81.71830600139539]","[-0.031276639075140486, -0.006087582851165634, 0.15123254171354528]","[-0.0223536515380389, -0.008893531584502085, 0.1239580294550879]","[-319.817595718595, 200.21851602818188, 81.71830600139539]",Prevent Maint,8060,HPMS,PRV, Inspected the exterior of valve for mud leaks. None noted Verified the air pressure on the gauges. 110PSI Inspected the air connections for leaks. None noted. SPM-S_PRV-HPMS_NOV-TITAN-BX_7-MECHANICAL. NOTE: Perform this PM daily and record weekly in RMS. WARNING: ANY SIGNS OF LEAKAGE REQUIRES IMMEDIATE ACTION TO PREVENT VALVE DAMAGE AND/OR PERSONNEL INJURY. 1. Visually examine the exterior of valve for mud leakage as per RMS Procedure BPR-PRV-N005 (Titan BX Visual Inspection Illustration). NOTE: Refer to RMS Procedure BPR-PRV-N003 (NOV Titan BX PRV Disassembly And Assembly (Mud Pumps)) while performing below Task. 2. Replace piston seals ONLY if mud leakage is observed at the poi,none noted. none noted verified the air pressure on the gauges. ,,,1.0,2,1/28/2017 0:00,2/1/2017 14:24,2/3/2017 15:50,3/25/2013 0:00,,0 days 00:02:45,1,11,5,"[5, 1, 11]",120,3,3,3,3,3,3
29,2017-02-01 19:45:00,2220014158814," Checked all fluid end no leaks. Was perfomed visually inspect suction and discharge manifolds no corrosion cracks washouts damage .Checked discharge and modules no founded any movement.. SPM01-FEND-Checks. Note: Tasks to be performed daily but recorded weekly 1. Check fluid end for corrosion or leaks 2. Check suction and discharge manifolds for corrosion, cracks, wash-outs, or damage 3. Check discharge and suction modules for any movement","[1.6011, 1.5785, 1.3204]","[1.5751, 1.5719, 1.353]","[245.5265, -110.3287, -130.6978]",neutral,neutral,neutral,"[1.5936, 1.5319, 1.3745]","[1.5707, 1.5276, 1.4017]","[245.5265, -110.3287, -130.6978]",neutral,neutral,neutral,"[-0.06800587107647434, 0.11923833307142, -0.13171114366714676]","[-0.055311994568872556, 0.08609543553292108, -0.11057065077037058]","[-247.23495049260492, 240.8181429572164, -23.577500968558525]","[-0.06734302712510888, 0.13486786349442392, -0.22426870604571658]","[-0.05114052845773761, 0.09911373867183047, -0.19491405858771743]","[-247.23495049260492, 240.8181429572164, -23.577500968558525]",Prevent Maint,8060,HPMS,FEND," Checked all fluid end no leaks. Was perfomed visually inspect suction and discharge manifolds no corrosion cracks washouts damage .Checked discharge and modules no founded any movement.. SPM01-FEND-Checks. Note: Tasks to be performed daily but recorded weekly 1. Check fluid end for corrosion or leaks 2. Check suction and discharge manifolds for corrosion, cracks, wash-outs, or damage 3. Check discharge and suction modules for any movement",no founded any movement. checked all_fluid end no leaks. ,,,1.0,2,1/24/2017 0:00,2/1/2017 19:32,2/1/2017 19:45,7/4/2009 0:00,,0 days 00:13:42,0,7,9,"[9, 0, 7]",66,2,2,2,2,2,2
33,2017-02-04 14:47:00,2220014158953, Parts Requested from ICS:----------. MP2 Replace lube oil filter. Lube oil found with 30psi differential pressure across the lube oil filter. Replace the filter and dissect the oil filter to inspect for the cause of the high pressure differential,"[1.3631, 1.5653, 1.5716]","[1.4068, 1.5434, 1.5497]","[20.655, 4.1257, -20.2808]",positive,positive,neutral,"[1.3586, 1.5698, 1.5716]","[1.4023, 1.5479, 1.5497]","[20.655, 4.1257, -20.2808]",positive,positive,neutral,"[0.1395852964244624, -0.14328170214340852, -6.07695418522708e-06]","[0.09580265520423288, -0.09949906092564961, -6.0769542600955505e-06]","[-18.77744834723052, 19.532634731055115, -24.02887625943983]","[0.13059374955086483, -0.1432817021492185, -9.315134227637933e-11]","[0.08681110833063463, -0.0994990609289883, -8.757352777521122e-11]","[-18.77744834723052, 19.532634731055115, -24.02887625943983]",Corrective,8060,HPMS,MP, Parts Requested from ICS:----------. MP2 Replace lube oil filter. Lube oil found with 30psi differential pressure across the lube oil filter. Replace the filter and dissect the oil filter to inspect for the cause of the high pressure differential,,1.0,,,3,2/5/2017 0:00,2/4/2017 14:10,2/4/2017 0:00,2/12/2009 0:00,,0 days 00:37:12,2,3,1,"[1, 2, 3]",41,2,1,1,2,1,1
35,2017-02-05 20:48:00,2220014158977, Mud Pump 3: Remove the Air operated hoist on the trolley and install a manual hoist for the task. Gather all tools and equipment as needed. Create a new RRP and WRA for replacing the bladder. Isolated the mud pump and the fluid end valves. Removed the fill valve and gauge. Removed the top cover and found that the hex bolt that secures the stabilizer to the diaphragm had back out. The stabilizer was found to be split and in poor condition. Rigged up lifting eye and removed the diaphragm. Clean the flange and cavity and fit the new diaphragm. Reinstall the cover fill valve and gauges. Rig up and fill with 2000psi nitrogen pre charge.. Replace MP3 pulsation dampener diaphram. Replace MP3 pulsation dampener diaphram Topp off nitrogen to 2000psi,"[1.4136, 1.5427, 1.5437]","[1.4445, 1.5201, 1.5354]","[61.4243, 15.5492, -72.4735]",positive,positive,neutral,"[1.413, 1.544, 1.543]","[1.444, 1.5206, 1.5354]","[61.4243, 15.5492, -72.4735]",positive,positive,neutral,"[0.1113727720983612, -0.06260323839304335, 0.02340106413477885]","[0.06221671711318598, -0.049850109023448434, 0.02095799594499409]","[-39.8598315255739, 79.98868738650833, -67.95830112551378]","[0.1101630580621677, -0.06260323843575591, 0.024734415211752094]","[0.06119424679446168, -0.04985010904272685, 0.02094219921147762]","[-39.8598315255739, 79.98868738650833, -67.95830112551378]",Corrective,8060,HPMS,PDAM, Mud Pump 3: Remove the Air operated hoist on the trolley and install a manual hoist for the task. Gather all tools and equipment as needed. Create a new RRP and WRA for replacing the bladder. Isolated the mud pump and the fluid end valves. Removed the fill valve and gauge. Removed the top cover and found that the hex bolt that secures the stabilizer to the diaphragm had back out. The stabilizer was found to be split and in poor condition. Rigged up lifting eye and removed the diaphragm. Clean the flange and cavity and fit the new diaphragm. Reinstall the cover fill valve and gauges. Rig up and fill with 2000psi nitrogen pre charge.. Replace MP3 pulsation dampener diaphram. Replace MP3 pulsation dampener diaphram Topp off nitrogen to 2000psi,,,1.0,,1,2/11/2017 0:00,2/5/2017 20:43,2/14/2017 9:29,10/2/2008 0:00,,0 days 00:05:03,6,5,2,"[2, 6, 5]",141,2,1,1,2,1,1
37,2017-02-06 14:20:00,2220014159027," PQuip arrangement is used on the fluid end No clamps used No abnormal noises heard from the crankshaft and bearing areas Checked the average temps found in the main bearing area was 6061 Found numerous leaks on the covers nipped up the bolts as needed. Several bolts were found to be slack Verify good flushing water spray was present at all cylinders Pulsation dampener pressure set at 2000 psi Unable to clean the magnetic filter as the unit was in use. Last inspection showed no unusual signs of matal Delta P across the lube oil was within the acceptable range The lube oil pressure was within the acceptable range Liner spray pump pressure was within the acceptable range The crosshead retainer pins were in place and did not appear to be slack Oil level good in the crank case Visually inspect the drive belts the best we could since the unit was being run Unable to test belt tension as the pump was being run. Belts were found to be the correct tension during the last inspection Check drain cleanouts for moisture none found. SPM-S_MP_NOV(NATIONAL-OILWELL)-P-SERIES_30-MECHANICAL. 1. Visually examine hold down bolts and fluid end clamping bolts for looseness and damage, and repair or replace as required. 2. Listen to crankshaft main bearings for abnormal noises. 3. Examine crankshaft main bearings temperatures using heat probe or temperature gun. 4. Visually examine all inspection covers for leaks. 5. Visually examine piston/liner flushing system spray tubes to make sure that the spray is approximately 12 in (305 mm) at each spray nozzle. 6. Make sure that","[1.5005, 1.55, 1.4495]","[1.499, 1.5398, 1.4612]","[610.7719, -155.3841, -450.8877]",neutral,neutral,neutral,"[1.4952, 1.5254, 1.4794]","[1.4941, 1.5263, 1.4796]","[610.7719, -155.3841, -450.8877]",neutral,neutral,neutral,"[0.0010738226243767544, -0.00860005464671819, -0.049795082242559165]","[0.0031785497415163597, -0.00860005464669883, -0.049335005767958615]","[-624.685320162584, 593.8583968389379, -310.91709973870655]","[0.005117681610089659, 0.00603335047516089, -0.09489151912816138]","[0.0068535464581930316, 0.004899407275127558, -0.07275052425131613]","[-624.685320162584, 593.8583968389379, -310.91709973870655]",Prevent Maint,8060,HPMS,MP," PQuip arrangement is used on the fluid end No clamps used No abnormal noises heard from the crankshaft and bearing areas Checked the average temps found in the main bearing area was 6061 Found numerous leaks on the covers nipped up the bolts as needed. Several bolts were found to be slack Verify good flushing water spray was present at all cylinders Pulsation dampener pressure set at 2000 psi Unable to clean the magnetic filter as the unit was in use. Last inspection showed no unusual signs of matal Delta P across the lube oil was within the acceptable range The lube oil pressure was within the acceptable range Liner spray pump pressure was within the acceptable range The crosshead retainer pins were in place and did not appear to be slack Oil level good in the crank case Visually inspect the drive belts the best we could since the unit was being run Unable to test belt tension as the pump was being run. Belts were found to be the correct tension during the last inspection Check drain cleanouts for moisture none found. SPM-S_MP_NOV(NATIONAL-OILWELL)-P-SERIES_30-MECHANICAL. 1. Visually examine hold down bolts and fluid end clamping bolts for looseness and damage, and repair or replace as required. 2. Listen to crankshaft main bearings for abnormal noises. 3. Examine crankshaft main bearings temperatures using heat probe or temperature gun. 4. Visually examine all inspection covers for leaks. 5. Visually examine piston/liner flushing system spray tubes to make sure that the spray is approximately 12 in (305 mm) at each spray nozzle. 6. Make sure that",the fluid end no clamps used no abnormal noises heard from the crankshaft                                                 psi unable to clean the magnetic filter as the unit was in use  last inspection showed no unusual signs of matal delta p across the lube oil was within the_acceptable range                                                                      the last inspection check drain cleanouts for moisture none found. ,,,1.0,2,1/18/2017 0:00,2/6/2017 13:36,2/6/2017 0:00,2/12/2009 0:00,,0 days 00:44:23,1,12,20,"[20, 1, 12]",260,2,2,2,2,2,2
38,2017-02-06 14:27:00,2220014159028, Parts Requested from ICS:----------. Replace the desiccant filter with an OEM style breather. Replace the desiccant filter with an OEM style breather It appears someone has replaced the OEM breather with a desiccant style filter. Service life on the desiccant filter is appx 1 month. Order the correct OEM breather,"[1.3254, 1.5547, 1.6199]","[1.3621, 1.5363, 1.6016]","[41.3887, -39.3166, 2.4279]",positive,positive,negative,"[1.3216, 1.4436, 1.7348]","[1.3583, 1.4851, 1.6566]","[41.3887, -39.3166, 2.4279]",positive,positive,negative,"[0.17681048191877485, -0.1799046219398945, 0.28963199325628414]","[0.14016146859593467, -0.14325560861912356, 0.1699347423846537]","[-80.70381263184692, -0.9263832981401441, 0.9293542322681532]","[0.16928395286572273, -0.17990462194499637, 0.05996820723702379]","[0.13263493954288194, -0.14325560862215558, 0.05996820724169114]","[-80.70381263184692, -0.9263832981401441, 0.9293542322681532]",Corrective,8060,HPMS,MP, Parts Requested from ICS:----------. Replace the desiccant filter with an OEM style breather. Replace the desiccant filter with an OEM style breather It appears someone has replaced the OEM breather with a desiccant style filter. Service life on the desiccant filter is appx 1 month. Order the correct OEM breather,,1.0,,,3,8/31/2017 0:00,2/6/2017 14:26,8/23/2017 9:40,2/12/2009 0:00,,0 days 00:01:48,3,5,0,"[0, 3, 5]",49,3,1,1,3,1,1
39,2017-02-06 19:51:00,2220014159039," Equipment is out of Service Mud pump out of service to replace Rupture disk on Mud pump.----------. Change out mud pump #1 Rupture disk. Change out mud pump #1 WOM valve rupture disk,","[1.5336, 1.2384, 1.7279]","[1.5305, 1.3164, 1.6531]","[29.8487, -75.7706, 50.422]",negative,negative,negative,"[1.5289, 0.9604, 2.0107]","[1.5263, 1.1913, 1.7824]","[29.8487, -75.7706, 50.422]",negative,negative,negative,"[-0.057785757541121245, 0.0, 1.0214308642896677]","[-0.05251051280993859, 0.0, 0.5648234281808687]","[-67.03553918309346, -10.338205466471567, 87.50575687693242]","[-0.0672679882130322, 0.0, 0.4558400666679152]","[-0.06098047955330809, 0.0, 0.3061466796018361]","[-67.03553918309346, -10.338205466471567, 87.50575687693242]",Corrective,8060,HPMS,PRV," Equipment is out of Service Mud pump out of service to replace Rupture disk on Mud pump.----------. Change out mud pump #1 Rupture disk. Change out mud pump #1 WOM valve rupture disk,",,1.0,,,3,2/6/2017 0:00,2/6/2017 19:45,2/7/2017 10:07,3/25/2013 0:00,,0 days 00:06:05,0,10,0,"[0, 0, 10]",26,3,3,3,3,3,3
43,2017-02-09 23:27:00,2220014159146," 1 the motor was in good condition 2 there was no abnormal noise 3 no abnormal vibration 5 was working proper 6 the motr blower was in good condition 7 was cleaned. SPM-C_MTR_ALL-AC-HOR-MOUNT-500+_30-ELECTRICAL. NOTE: This PM MUST be performed in coordination with drilling department. NOTE: Review all relevant product alerts and bulletins, and make sure that all alerts and bulletins requiring action are addressed. 1. Make sure that the AC Motor meets conditions listed below: - no dirt or debris around motor - no cracks to motor housing - nameplate is present and legible NOTE: Perform Task 2 to Task 4 while Motor is running. 2. Listen to AC Motor for abnormal noises. 3. Feel AC Motor fo","[1.5027, 1.5235, 1.4738]","[1.5027, 1.5217, 1.4756]","[271.8796, -110.757, -156.6226]",neutral,neutral,neutral,"[1.5, 1.5163, 1.4837]","[1.5, 1.5159, 1.4841]","[271.8796, -110.757, -156.6226]",neutral,neutral,neutral,"[0.0, 0.0, -0.03255946834070356]","[0.0, 0.0, -0.03174682206978445]","[-311.33458123166315, 229.42455333626594, -86.82057333498308]","[-0.005481606321108494, 0.0, -0.05247304920298202]","[-0.00548160632110849, 0.0, -0.04883480852981322]","[-311.33458123166315, 229.42455333626594, -86.82057333498308]",Prevent Maint,8060,HPMS,MTR," 1 the motor was in good condition 2 there was no abnormal noise 3 no abnormal vibration 5 was working proper 6 the motr blower was in good condition 7 was cleaned. SPM-C_MTR_ALL-AC-HOR-MOUNT-500+_30-ELECTRICAL. NOTE: This PM MUST be performed in coordination with drilling department. NOTE: Review all relevant product alerts and bulletins, and make sure that all alerts and bulletins requiring action are addressed. 1. Make sure that the AC Motor meets conditions listed below: - no dirt or debris around motor - no cracks to motor housing - nameplate is present and legible NOTE: Perform Task 2 to Task 4 while Motor is running. 2. Listen to AC Motor for abnormal noises. 3. Feel AC Motor fo",around motor no cracks to motor housing nameplate is. there was no abnormal noise no abnormal vibration was working proper the motr blower was in_good_condition was cleaned. ,,,1.0,2,1/22/2017 0:00,2/9/2017 23:20,2/16/2017 17:46,4/11/2018 0:00,,0 days 00:07:36,0,9,8,"[8, 0, 9]",108,2,2,2,2,2,2
45,2017-02-10 09:50:00,2220014159170, Parts Requested from ICS:----------. MP 4 lube oil pressure switch failure. Breakdown Job,"[1.5215, 1.2351, 1.7433]","[1.5215, 1.2351, 1.7433]","[-1.8585, -3.0282, 9.3868]",negative,negative,negative,"[1.5063, 1.2504, 1.7433]","[1.5063, 1.2504, 1.7433]","[-1.8585, -3.0282, 9.3868]",negative,negative,negative,"[-0.012555559941111401, 0.0, 0.48665365062952815]","[-0.012555559941111393, 0.0, 0.4866536506291171]","[0.6294114590883222, -6.087671989789113, 9.68587243055504]","[-0.043097095189449305, 0.0, 0.4866841283636433]","[-0.043097095189449236, 0.0, 0.4866841283890519]","[0.6294114590883222, -6.087671989789113, 9.68587243055504]",Corrective,8060,HPMS,MP, Parts Requested from ICS:----------. MP 4 lube oil pressure switch failure. Breakdown Job,,1.0,,,3,2/10/2017 0:00,2/10/2017 0:00,2/11/2017 10:33,2/12/2009 0:00,,0 days 09:50:42,0,2,0,"[0, 0, 2]",12,3,3,3,3,3,3
46,2017-02-10 10:06:00,2220014159174, MP 3 liner washer pressure switch is not working Took new part from ware house verified set point it was 50 PSi so adjusted it to 25 PSI Liner Pump output pressure is 35 PSI. Installed switch on to the location and verified operation all working normally. MP 3 liner washer Low pressure switch. Breakdown Job,"[1.3271, 1.5864, 1.5864]","[1.3271, 1.5864, 1.5864]","[30.662, 14.6058, -40.7677]",positive,positive,neutral,"[1.3848, 1.5706, 1.5447]","[1.3848, 1.5652, 1.55]","[30.662, 14.6058, -40.7677]",positive,positive,neutral,"[0.11524223010436165, -0.11524223010416752, -0.025924325275390406]","[0.11524223010436199, -0.11524223010416733, -0.015191092111542138]","[-12.075732431127154, 46.24817314306411, -38.287275149644074]","[0.17286334515654248, -0.1728633451565425, -2.5522945357529093e-11]","[0.17286334515654245, -0.17286334515654245, -2.398860410161034e-11]","[-12.075732431127154, 46.24817314306411, -38.287275149644074]",Corrective,8060,HPMS,MP, MP 3 liner washer pressure switch is not working Took new part from ware house verified set point it was 50 PSi so adjusted it to 25 PSI Liner Pump output pressure is 35 PSI. Installed switch on to the location and verified operation all working normally. MP 3 liner washer Low pressure switch. Breakdown Job,switch is not working took new_part from ware. ,,1.0,,1,2/10/2017 0:00,2/10/2017 0:00,2/11/2017 0:00,2/12/2009 0:00,,0 days 10:06:12,3,1,3,"[3, 3, 1]",51,2,1,1,2,1,1
50,2017-02-11 11:20:00,2220014159201," The AC Motor maintains hazardous area requirements. In normal operation checked the motor no excessive temperature found. Visually examined AC Motor junction box cover. The AC Motor foundation fasteners are secure. The supply cable circuit ID marker is in place. Measure AC Motor earth bonding is ok. The ground connection is in good condition and free from corrosion. The AC Motor lifting point threads are free from corrosion. The remote motor stop/start station is ok. Blow dirt and dust from the inside of AC Motor using clean dry compressed air done. The motor heater is working properly. Lubricated bearings as well recommended.. SPM-C_MTR_ALL-AC-HOR-MOUNT-500+_180-ELECTRICAL. NOTE: Make required repairs as needed for all discrepancies found while performing the Tasks in this PM. For major repairs create a new corrective maintenance job in RMS for tracking. 1. Make sure that the AC Motor maintains hazardous area requirements as per RMS Procedure BPR-GENERIC-034 (Haza Area Specifications of EX Elect Equip Close Visual Insp). 2. While AC Motor is running in normal operating conditions, examine Motor for excessive temperature, using an infra-red thermometer or inf","[1.5035, 1.5548, 1.4417]","[1.5035, 1.5473, 1.4492]","[585.8545, -134.9023, -446.4522]",neutral,neutral,neutral,"[1.5021, 1.5602, 1.4377]","[1.5021, 1.5527, 1.4452]","[585.8545, -134.9023, -446.4522]",neutral,neutral,neutral,"[0.0, 0.004165858581900586, -0.12042336304861681]","[0.0, 0.004165858581983027, -0.10541189458277261]","[-548.320134798897, 620.3887879252833, -275.51558849661427]","[-1.1558802963301994e-18, 0.007049380466580152, -0.10955611114481925]","[0.0, 0.007049379692693926, -0.09451485196244498]","[-548.320134798897, 620.3887879252833, -275.51558849661427]",Prevent Maint,8060,HPMS,MTR," The AC Motor maintains hazardous area requirements. In normal operation checked the motor no excessive temperature found. Visually examined AC Motor junction box cover. The AC Motor foundation fasteners are secure. The supply cable circuit ID marker is in place. Measure AC Motor earth bonding is ok. The ground connection is in good condition and free from corrosion. The AC Motor lifting point threads are free from corrosion. The remote motor stop/start station is ok. Blow dirt and dust from the inside of AC Motor using clean dry compressed air done. The motor heater is working properly. Lubricated bearings as well recommended.. SPM-C_MTR_ALL-AC-HOR-MOUNT-500+_180-ELECTRICAL. NOTE: Make required repairs as needed for all discrepancies found while performing the Tasks in this PM. For major repairs create a new corrective maintenance job in RMS for tracking. 1. Make sure that the AC Motor maintains hazardous area requirements as per RMS Procedure BPR-GENERIC-034 (Haza Area Specifications of EX Elect Equip Close Visual Insp). 2. While AC Motor is running in normal operating conditions, examine Motor for excessive temperature, using an infra-red thermometer or inf",no excessive temperature found. ,,,1.0,2,2/21/2017 0:00,2/11/2017 10:57,2/11/2017 11:24,10/2/2008 0:00,,0 days 00:23:22,0,6,13,"[13, 0, 6]",192,2,2,2,2,2,2
